Cs Rydberg State (n), Distance (um), Rb-Cs Energy Shift (GHz), Na-Cs Energy Shift (GHz), Rb-Rb Energy Shift (GHz), Na-Na Energy Shift (GHz), Cs-Cs Energy Shift (GHz)
59, 9, 0.003432753662079916, -0.0032934323753394373, 0.00014133388082232995, 0.00016652899139189638, 0.00015585474410218262
59, 10, 0.001850427230543077, -0.0017832199410801727, 7.51166417907741e-05, 8.850884064115777e-05, 8.283591738157412e-05
59, 11, 0.0010520164074501015, -0.0010162665208527655, 4.2406114158111634e-05, 4.996635405857579e-05, 4.67640835904424e-05
59, 12, 0.0006265358322113544, -0.000606054597822765, 2.516340022713347e-05, 2.964904822844395e-05, 2.774914951819379e-05
59, 13, 0.00038841970291728903, -0.0003760053761547025, 1.5570558613416508e-05, 1.834556651863365e-05, 1.717023623466225e-05
59, 14, 0.0002493094766723414, -0.0002414445876781049, 9.985110971537669e-06, 1.1764057606556194e-05, 1.1010609998516801e-05
60, 5, 0.0672265541978009, -0.0798581835937981, 0.0059118558310879725, 0.007005227991209957, 0.006476438645269447
60, 6, 0.033728697797089424, -0.04126489870770789, 0.0019822416102484304, 0.0023524618599041524, 0.002174905837298044
60, 7, 0.01602945547784984, -0.021732356843171062, 0.0007863886020501669, 0.0009337000131289102, 0.0008632290952143953
60, 8, 0.007780964301585673, -0.011662142978222361, 0.00035297959537077466, 0.0004191727428463574, 0.0003875362770015085
60, 9, 0.003975749480878509, -0.006403828568729081, 0.00017412885680629753, 0.00020679636136804332, 0.00019118910713571605
60, 10, 0.0021485366056617984, -0.0036209378409068466, 9.254619756254149e-05, 0.00010991102592105316, 0.00010161622293288523
